Dates,NEWS_SENTIMENT_DAILY_AVG,TWITTER_SENTIMENT_DAILY_AVG,PX_OPEN,sentiment_label
2022-03-18,-0.0024,0.0029,295.37,negative
2022-03-21,0.0052,0.0025,298.89,positive
2022-03-22,-0.0052,-0.0063,299.8,negative
2022-03-23,-0.007,-0.0246,300.51,negative
2022-03-24,-0.0068,-0.0196,299.14,negative
2022-03-25,0.0004,-0.0105,305.23,neutral
2022-03-28,-0.0233,-0.0046,304.33,negative
2022-03-29,0.0019,0.0048,313.91,positive
2022-03-30,0.001,0.0027,313.76,positive
2022-03-31,-0.0011,-0.003,313.9,negative
2022-04-01,-0.0016,0.0019,309.37,negative
2022-04-04,-0.0103,0.0053,310.09,negative
2022-04-05,0.0022,0.0025,313.27,positive
2022-04-06,0.0,0.0032,305.19,neutral
2022-04-07,-0.0082,-0.0058,296.66,negative
2022-04-08,-0.0002,-0.0132,300.44,negative
2022-04-11,-0.0003,-0.001,291.79,negative
2022-04-12,-0.0258,-0.0169,289.235,negative
2022-04-13,-0.0017,0.004,282.73,negative
2022-04-14,-0.0014,-0.0021,288.09,negative
2022-04-15,-0.0016,-0.0033,288.09,negative
2022-04-18,-0.0002,-0.0023,278.91,negative
2022-04-19,-0.0037,-0.0033,279.38,negative
2022-04-20,0.0007,0.0099,289.4,neutral
2022-04-21,0.0022,0.0031,288.58,positive
2022-04-22,-0.0007,-0.006,281.68,negative
2022-04-25,-0.0043,0.0092,273.29,negative
2022-04-26,-0.0032,0.0116,277.5,negative
2022-04-27,0.2654,0.0717,282.1,positive
2022-04-28,0.1452,0.0496,285.185,positive
2022-04-29,0.0033,0.0135,288.61,positive
2022-05-02,-0.0006,0.0076,277.71,negative
2022-05-03,0.0005,0.0121,283.96,neutral
2022-05-04,0.0017,-0.0077,282.59,positive
2022-05-05,0.0003,-0.0149,285.54,neutral
2022-05-06,-0.0012,-0.0156,274.805,negative
2022-05-09,0.0001,-0.0087,270.06,neutral
2022-05-10,-0.0025,-0.0123,271.69,negative
2022-05-11,0.0006,-0.0067,265.68,neutral
2022-05-12,-0.001,-0.0167,257.69,negative
2022-05-13,-0.002,-0.0215,257.35,negative
2022-05-16,0.0,0.0035,259.955,neutral
2022-05-17,0.0001,0.0069,266.11,neutral
2022-05-18,-0.0049,0.0059,263.0,negative
2022-05-19,-0.0082,-0.0084,253.9,negative
2022-05-20,-0.0016,-0.0038,257.24,negative
2022-05-23,0.0001,-0.0028,255.49,neutral
2022-05-24,0.0003,0.0044,257.89,neutral
2022-05-25,-0.0003,-0.0016,258.14,negative
2022-05-26,-0.0025,-0.0022,262.27,negative
2022-05-27,0.0012,-0.0034,268.48,positive
2022-05-30,-0.0003,0.0044,268.48,negative
2022-05-31,-0.0002,0.0017,272.53,negative
2022-06-01,-0.0003,0.0029,275.195,negative
2022-06-02,-0.0003,-0.0061,264.45,negative
2022-06-03,-0.1819,-0.1989,270.31,negative
2022-06-06,-0.0001,-0.0043,272.06,neutral
2022-06-07,-0.0009,-0.002,266.635,negative
2022-06-08,0.0013,-0.0067,271.71,positive
2022-06-09,-0.0011,-0.0108,267.78,negative
2022-06-10,-0.0001,-0.0021,260.58,neutral
2022-06-13,0.0,-0.0019,245.11,neutral
2022-06-14,-0.0024,-0.0067,243.86,negative
2022-06-15,0.0001,-0.003,248.31,neutral
2022-06-16,0.0002,-0.003,245.98,neutral
2022-06-17,-0.0004,-0.0057,244.7,negative
2022-06-20,-0.0001,0.0033,244.7,neutral
2022-06-21,0.0001,-0.0051,250.255,neutral
2022-06-22,-0.0001,-0.002,251.89,neutral
2022-06-23,-0.0002,0.0024,255.57,negative
2022-06-24,0.001,0.0034,261.808,positive
